state,parlimen,Total_Voters,Total_Undi_18,Total_Youth,Total_Senior_Citizen,Total_Early_Voter,ratio_undi_18,ratio_youth,ratio_senior_citizen,ratio_early_voter
Pulau Pinang,P.045 Bukit Mertajam,120819,7165,31414,25465,42,0.059303586356450555,0.26000877345450635,0.21076982924871088,0.0003476274427035483
Pulau Pinang,P.046 Batu Kawan,88812,5659,23718,17216,198,0.06371886681979913,0.26705850560735034,0.19384767824167906,0.0022294284556141062
Pulau Pinang,P.047 Nibong Tebal,100062,6981,29647,16429,543,0.06976674461833664,0.2962863024924547,0.16418820331394535,0.0054266354859986805
Pulau Pinang,P.048 Bukit Bendera,92521,3327,15866,29961,1055,0.035959403811026684,0.17148539250548525,0.3238291847256299,0.011402816657839841
Pulau Pinang,P.049 Tanjong,52803,1026,5531,22700,903,0.019430714163967956,0.10474783629718008,0.42989981629831636,0.017101301062439633
Pulau Pinang,P.050 Jelutong,93989,3909,18242,25809,926,0.04158997329474726,0.19408654204215386,0.27459596335741415,0.009852216748768473
Pulau Pinang,P.051 Bukit Gelugor,117134,5575,25479,28225,145,0.04759506206566838,0.21752010517868425,0.24096334113067086,0.0012378984752505677
Pulau Pinang,P.052 Bayan Baru,119640,6567,29324,24335,2234,0.054889669007021066,0.24510197258441993,0.20340187228351722,0.018672684720829155
Pulau Pinang,P.053 Balik Pulau,80264,5312,22857,14380,785,0.06618160071763181,0.2847727499252467,0.17915877603907107,0.009780225256653044
Perak,P.054 Gerik,47565,3308,15090,7200,2808,0.06954693577210133,0.3172500788394828,0.15137180700094607,0.05903500473036897
Perak,P.055 Lenggong,36950,1988,9181,7292,51,0.053802435723951283,0.24847090663058186,0.19734776725304465,0.0013802435723951287
Perak,P.056 Larut,65719,3913,18120,12195,224,0.0595413807270348,0.2757193505683288,0.18556277484441333,0.0034084511328535128
Perak,P.057 Parit Buntar,68502,3802,17150,13224,96,0.05550202913783539,0.2503576537911302,0.19304545852675833,0.0014014189366733818
Perak,P.058 Bagan Serai,80293,5050,22117,14261,328,0.0628946483504166,0.2754536510032008,0.17761199606441408,0.0040850385463240884
Perak,P.059 Bukit Gantang,94253,5383,25388,17560,78,0.057112240459189625,0.269360126468123,0.18630706714905626,0.0008275598654684731
Perak,P.060 Taiping,121566,5739,28777,29456,4476,0.04720892354770248,0.23671914844611158,0.24230459174440222,0.03681950545382755
Perak,P.061 Padang Rengas,38686,1975,9394,8451,41,0.05105206017680815,0.24282686243085355,0.21845111926795224,0.0010598149201261437
Perak,P.062 Sungai Siput,72395,4051,18088,15111,292,0.05595690310104289,0.24985150908211892,0.20872988466054285,0.004033427722909041
Perak,P.063 Tambun,160558,11082,48403,26830,4734,0.0690217865195132,0.30146738250351895,0.16710472228104487,0.029484672205682683
Perak,P.064 Ipoh Timor,118178,4418,21156,36828,2550,0.0373842847230449,0.17901809135372065,0.31163160655959654,0.021577620200037232
Perak,P.065 Ipoh Barat,114654,4922,23982,31538,858,0.04292916077938842,0.20916845465487466,0.2750710834336351,0.007483384792506149
Perak,P.066 Batu Gajah,111896,5596,25558,27117,581,0.050010724243940805,0.22840852219918495,0.2423411024522771,0.005192321441338386
Perak,P.067 Kuala Kangsar,46985,2512,11754,10163,332,0.053463871448334574,0.2501649462594445,0.21630307544961158,0.007066084920719379
Perak,P.068 Beruas,108249,5947,26400,23998,178,0.0549381518535968,0.24388216057423162,0.22169257914622767,0.0016443569917505012
Perak,P.069 Parit,47915,2882,13065,8956,475,0.06014817906709798,0.27267035375143484,0.186914327454868,0.00991338829176667
Perak,P.070 Kampar,89894,4026,18847,23587,378,0.04478608138474203,0.20965804169355018,0.26238681113311235,0.004204952499610653
Perak,P.071 Gopeng,143657,8986,40721,27355,1176,0.06255177262507222,0.2834599079752466,0.19041884488747501,0.00818616565847818
Perak,P.072 Tapah,61946,3239,15621,13049,1644,0.05228747618893875,0.2521712459238692,0.21065121234623704,0.026539243857553352
Perak,P.073 Pasir Salak,74761,4516,20406,13153,81,0.06040582656732788,0.2729498000294271,0.17593397627105042,0.0010834526022926393
Perak,P.074 Lumut,92972,6150,28411,13823,8919,0.06614894807038678,0.30558662823215593,0.14867917222389537,0.0959321085918341
Perak,P.075 Bagan Datuk,58183,2814,14078,11973,118,0.048364642593197324,0.2419607101730746,0.2057817575580496,0.00202808380454772
