state,parlimen,dun,total,male_18_20,female_18_20,total_18_20,ratio_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14,votertype_early,Total#
Perak,P.065 Ipoh Barat,N.28 Bercham,52750,1357,1306,2663,0.05048341232227488,5511,5047,5601,5496,4709,4636,4048,4446,2820,3393,1470,1669,453,657,57,74,52637,0,106,7,36116.0,106,114654
Perak,P.066 Batu Gajah,N.31 Jelapang,35088,920,884,1804,0.05141358869129047,3228,3212,3368,3249,3426,3394,2966,2867,1983,2197,1060,1345,372,481,47,89,35029,0,55,4,24729.0,55,111896
Perak,P.067 Kuala Kangsar,N.34 Bukit Chandan,22194,605,592,1197,0.05393349553933496,2288,2144,2364,2266,1947,1819,1538,1673,1332,1450,556,825,218,409,85,83,21876,0,314,4,17311.0,314,46985
Perak,P.068 Beruas,N.36 Pengkalan Baharu,22573,601,529,1130,0.050059805962876,2129,1950,2402,2444,2173,1867,1722,1604,1328,1513,688,916,189,391,58,69,22558,0,14,1,18076.0,14,108249
Perak,P.069 Parit,N.39 Belanja,17767,359,352,711,0.04001801091911972,1447,1332,1852,1779,1836,1634,1434,1474,1120,1229,489,763,166,393,47,61,17740,0,26,1,14946.0,26,47915
Perak,P.070 Kampar,N.41 Malim Nawar,29701,677,650,1327,0.04467863034914649,2367,2270,2636,2342,2731,2333,2986,2361,2274,2173,1234,1365,457,616,101,128,29635,0,66,0,22918.0,66,89894
Perak,P.071 Gopeng,N.44 Sungai Rapat,47931,1720,1597,3317,0.0692036469090985,5934,5669,5245,5233,4041,4081,3067,3498,2289,2646,903,1238,253,420,37,60,46841,852,230,8,31878.0,1082,143657
Perak,P.072 Tapah,N.47 Chenderiang,30006,813,794,1607,0.05355595547557155,3252,2974,3455,3322,2520,2297,2176,2065,1748,1808,819,967,301,486,103,106,29021,656,325,4,22591.0,981,61946
Perak,P.073 Pasir Salak,N.49 Sungai Manik,35520,1049,1011,2060,0.05799549549549549,3721,3466,4159,3868,3267,2990,2687,2504,1817,1938,929,1225,243,488,61,97,35469,0,47,4,26310.0,47,74761
Perak,P.074 Lumut,N.51 Pasir Panjang,62418,2430,2376,4806,0.07699702009035855,7904,7594,7379,7087,4825,4717,4081,4431,3228,3196,1099,1354,210,378,57,72,61892,72,444,10,42402.0,516,92972
Perak,P.075 Bagan Datuk,N.53 Rungkup,19670,418,387,805,0.04092526690391459,1812,1524,2374,2143,1874,1547,1505,1356,1137,1255,682,979,175,376,56,70,19638,0,30,2,16067.0,30,58183
Perak,P.076 Teluk Intan,N.55 Pasir Bedamar,39117,722,715,1437,0.03673594600812946,3065,2890,3918,3729,3344,3401,2914,2987,2813,3133,1680,2123,510,806,169,198,39110,0,0,7,31439.0,0,87222
Perak,P.077 Tanjong Malim,N.57 Sungkai,23375,583,606,1189,0.05086631016042781,2255,2066,2435,2386,2043,1870,1778,1677,1454,1546,881,982,268,396,62,87,23318,0,56,1,17128.0,56,93873
Pahang,P.078 Cameron Highlands,N.01 Tanah Rata,26838,773,763,1536,0.057232282584395264,2792,2656,3104,2870,2239,2145,1970,1900,1665,1700,764,801,205,308,90,93,26493,105,235,5,19505.0,340,46020
Pahang,P.079 Lipis,N.03 Padang Tengku,19407,667,606,1273,0.06559488844231463,2382,2314,2464,2397,1601,1451,1232,1276,942,971,373,445,102,159,14,11,19384,0,23,0,14057.0,23,47124
Pahang,P.080 Raub,N.06 Batu Talam,19683,542,536,1078,0.05476807397246355,2007,1998,2665,2644,1616,1444,1192,1330,1176,1193,461,489,114,203,29,44,19664,0,19,0,15188.0,19,75064
Pahang,P.081 Jerantut,N.09 Tahan,20895,735,750,1485,0.07106963388370424,2245,2228,2595,2474,2082,2026,1369,1300,759,900,489,601,115,182,18,27,20836,31,27,1,15197.0,58,87051
Pahang,P.082 Indera Mahkota,N.12 Beserah,59370,2656,2545,5201,0.08760316658244904,7972,7543,6928,6515,4671,4908,3794,3936,2541,2651,968,1066,231,340,48,57,58456,807,99,8,38721.0,906,120549
Pahang,P.083 Kuantan,N.14 Teruntum,30854,601,567,1168,0.037855707525766516,2448,2114,3408,2749,2644,2417,2563,2485,2417,2506,1328,1457,418,507,123,102,29284,31,1529,10,24746.0,1560,87597
Pahang,P.084 Paya Besar,N.17 Sungai Lembing,19130,596,572,1168,0.06105593308938839,1831,1840,2167,2263,1877,1844,1325,1320,886,953,562,636,186,210,30,32,19110,0,19,1,14729.0,19,79744
Pahang,P.085 Pekan,N.20 Pulau Manis,30113,1184,1011,2195,0.07289210639922956,4631,3323,4874,3920,2805,2640,1453,1555,826,902,367,368,87,130,17,20,23587,6486,38,2,20389.0,6524,119443
Pahang,P.086 Maran,N.24 Luit,16279,560,507,1067,0.06554456661957123,1848,1723,1948,1895,1460,1327,1253,1164,737,743,339,464,102,164,26,19,16087,0,192,0,12284.0,192,53128
Pahang,P.087 Kuala Krau,N.27 Jenderak,13994,505,439,944,0.06745748177790481,1484,1412,1685,1682,1452,1329,922,942,526,671,309,380,69,142,24,21,13984,0,9,1,10569.0,9,60537
Pahang,P.088 Temerloh,N.30 Mentakab,37269,1348,1229,2577,0.06914593898414231,4689,4454,4274,4229,2701,2786,2363,2738,2035,2063,800,936,215,317,45,47,37209,0,57,3,25431.0,57,106829
Pahang,P.089 Bentong,N.33 Bilut,24286,636,604,1240,0.051058222844437125,2611,2180,2748,2323,2115,1851,2000,1869,1464,1477,757,891,274,396,40,50,23544,506,231,5,19101.0,737,87058
Pahang,P.090 Bera,N.37 Guai,24412,686,657,1343,0.05501392757660167,2209,2238,3165,2967,2639,2543,1571,1404,999,1288,756,858,167,224,16,25,24397,0,14,1,19353.0,14,77669
Pahang,P.091 Rompin,N.40 Bukit Ibam,31003,938,951,1889,0.06092958745927814,3128,3150,4660,4597,3056,3025,1256,1419,1220,1808,827,780,97,69,11,11,30674,297,32,0,22806.0,329,89131
Selangor,P.092 Sabak Bernam,N.01 Sungai Air Tawar,19961,609,557,1166,0.05841390711888182,1974,1958,2277,2321,1785,1617,1584,1400,956,1127,522,764,148,272,40,50,19943,0,18,0,16274.0,18,51609
Selangor,P.093 Sungai Besar,N.03 Sungai Panjang,40465,1364,1310,2674,0.06608179908562956,4884,4636,5198,4851,3357,3222,2752,2789,1713,1863,761,1122,165,363,47,68,40164,0,300,1,30638.0,300,64382
Selangor,P.094 Hulu Selangor,N.05 Hulu Bernam,30189,931,848,1779,0.05892874888204313,2899,2998,3367,3359,2681,2635,2334,2256,1520,1674,771,1126,282,398,59,51,30147,0,40,2,22857.0,40,154317
Selangor,P.095 Tanjong Karang,N.08 Sungai Burong,31570,1025,953,1978,0.06265441875197973,3539,3313,3852,3621,2887,2738,2397,2252,1421,1531,603,882,145,318,48,45,31540,0,27,3,24045.0,27,62194
Selangor,P.096 Kuala Selangor,N.10 Bukit Melawati,37649,1378,1234,2612,0.0693776727137507,4531,4330,4497,4325,3100,3148,2514,2677,1763,1908,726,936,168,289,67,58,37288,0,358,3,26573.0,358,102951
Selangor,P.097 Selayang,N.13 Kuang,44424,2391,2189,4580,0.10309742481541509,6469,6241,4425,4644,3239,3777,2909,2982,1648,1782,608,733,130,191,30,36,44390,0,33,1,26481.0,33,181539
Selangor,P.098 Gombak,N.16 Sungai Tua,48640,1662,1558,3220,0.06620065789473684,5124,4915,5362,5388,4500,4554,3734,3685,2540,2779,1002,1259,187,295,56,40,48457,179,0,4,34180.0,179,206744
Selangor,P.099 Ampang,N.19 Bukit Antarabangsa,68503,2278,2119,4397,0.06418696991372641,7053,6756,6707,6725,5705,6119,5338,5579,4016,4358,1931,2256,542,794,93,134,68170,0,305,28,46537.0,305,133494
Selangor,P.100 Pandan,N.21 Pandan Indah,70260,1965,1827,3792,0.05397096498719044,7320,6859,8565,7988,6289,6280,5221,5785,3980,4480,1378,1519,258,447,45,54,69664,0,574,22,49063.0,574,148730
Selangor,P.101 Hulu Langat,N.23 Dusun Tua,73049,2527,2457,4984,0.06822817560815343,8752,8279,8835,8000,6016,5826,5093,5317,3845,3957,1471,1641,362,533,59,79,70785,0,2251,13,49106.0,2251,166902
Selangor,P.102 Bangi,N.25 Kajang,107100,4413,4139,8552,0.07985060690943044,13929,13269,11763,11605,8914,9292,6912,7807,4699,5222,1888,2085,469,564,62,68,106255,17,800,28,62170.0,817,303430
Selangor,P.103 Puchong,N.28 Seri Kembangan,61996,1673,1590,3263,0.0526324278985741,6108,5778,6198,6182,6024,5764,5060,5184,3776,3903,1696,1860,440,651,48,61,61872,0,115,9,43611.0,115,152861
